CUSTOMERID,AGE,EDUCATION,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT,DEFAULTED,ADDRESS
46,45,POST GRADUATE,9,84,1.276,9.728,$null$,NBA000
47,22,SCHOOL,4,14,0.225,2.225,0,NBA003
48,30,SCHOOL,4,21,0.229,0.506,$null$,NBA002
49,28,SCHOOL,3,19,0.261,0.518,0,NBA007
50,29,UNDER GRADUATE,10,61,0.798,2.984,$null$,NBA003
51,47,SCHOOL,22,81,1.506,2.949,0,NBA019
52,36,SCHOOL,11,33,1.266,9.459,0,NBA002
53,24,SCHOOL,3,19,1.358,3.278,1,NBA004
54,56,SCHOOL,19,66,0.847,1.331,$null$,NBA026
55,29,POST GRADUATE,5,70,3.176,10.754,1,NBA006
56,34,SCHOOL,2,25,0.573,2.577,1,NBA011
57,32,SCHOOL,1,20,0.315,0.645,1,NBA000
58,27,POST GRADUATE,2,26,0.722,0.838,0,NBA007
59,40,SCHOOL,9,64,0.790,3.434,0,NBA004
60,50,SCHOOL,11,36,0.835,0.893,0,NBA005
61,39,SCHOOL,17,60,2.450,5.770,0,NBA020
62,34,SCHOOL,18,34,2.100,3.136,0,NBA010
63,36,SCHOOL,18,67,5.245,2.259,0,NBA009
64,44,UNDER GRADUATE,18,74,4.522,5.394,0,NBA004
65,24,UNDER GRADUATE,4,20,0.324,0.416,0,NBA004
66,31,SCHOOL,8,44,1.721,1.799,0,NBA004
67,34,SCHOOL,16,79,1.735,1.425,0,NBA009
68,26,SCHOOL,4,27,2.472,0.363,1,NBA003
69,38,SCHOOL,3,23,0.832,2.549,0,NBA019
70,24,SCHOOL,3,14,0.838,1.416,1,NBA000
71,30,POST GRADUATE,8,61,0.550,1.158,0,NBA007
72,40,DOCTRATE,5,75,0.885,0.540,0,NBA006
73,30,UNDER GRADUATE,12,98,2.935,4.121,0,NBA009
74,25,UNDER GRADUATE,5,42,3.366,3.144,$null$,NBA003
75,29,SCHOOL,9,33,0.694,0.890,0,NBA002
76,33,SCHOOL,5,18,0.985,1.337,0,NBA010
77,43,SCHOOL,8,45,0.677,0.808,0,NBA011
78,35,UNDER GRADUATE,1,21,0.370,1.289,0,NBA001
79,41,UNDER GRADUATE,21,145,3.237,14.453,0,NBA022
80,46,UNDER GRADUATE,18,55,0.419,2.001,$null$,NBA018
81,33,SCHOOL,12,68,1.366,5.978,0,NBA012
82,30,POST GRADUATE,0,65,3.900,15.405,1,NBA008
83,40,POST GRADUATE,18,157,3.326,7.036,0,NBA014
84,38,SCHOOL,1,42,0.891,2.931,$null$,NBA009
85,49,UNDER GRADUATE,11,51,0.543,7.107,0,NBA001
86,26,SCHOOL,0,15,0.386,0.424,$null$,NBA002
87,22,DOCTRATE,0,25,1.491,1.559,$null$,NBA001
88,29,UNDER GRADUATE,2,16,0.433,1.247,$null$,NBA004
89,28,UNDER GRADUATE,8,31,1.492,1.050,1,NBA003
90,23,DOCTRATE,0,32,0.818,5.070,1,NBA004
91,37,UNDER GRADUATE,11,75,0.633,1.992,0,NBA004
92,35,UNDER GRADUATE,5,33,0.103,0.821,0,NBA001
93,31,SCHOOL,1,21,0.277,0.248,1,NBA006
94,29,SCHOOL,1,20,0.569,3.151,1,NBA002
95,34,POST GRADUATE,7,27,0.125,0.469,0,NBA000
96,47,UNDER GRADUATE,7,49,0.254,0.187,$null$,NBA024
97,37,SCHOOL,5,27,0.419,2.119,$null$,NBA011
98,38,SCHOOL,10,34,0.036,0.372,0,NBA008
99,32,UNDER GRADUATE,5,28,2.594,1.550,1,NBA000
100,22,POST GRADUATE,0,20,0.219,0.721,0,NBA002
101,30,SCHOOL,7,33,1.165,7.217,1,NBA002
102,38,DOCTRATE,13,126,7.613,9.649,$null$,NBA002
103,36,SCHOOL,20,60,1.056,2.184,0,NBA015
104,44,SCHOOL,5,48,1.970,2.350,1,NBA003
105,27,UNDER GRADUATE,4,22,1.086,1.818,1,NBA003
106,47,SCHOOL,19,50,3.176,11.874,0,NBA007
107,41,SCHOOL,7,32,0.072,0.856,0,NBA022
108,25,SCHOOL,8,27,1.019,2.869,0,NBA004
109,33,UNDER GRADUATE,10,54,0.120,1.500,$null$,NBA002
110,42,POST GRADUATE,13,82,1.315,1.391,0,NBA000
111,36,SCHOOL,14,53,1.888,1.133,0,NBA017
112,25,DOCTRATE,0,32,2.140,3.492,0,NBA002
113,30,SCHOOL,10,39,2.056,1.649,0,NBA011
114,24,SCHOOL,0,16,1.009,1.551,1,NBA002
115,32,SCHOOL,7,23,0.861,1.393,$null$,NBA010
116,39,UNDER GRADUATE,9,32,1.430,0.682,0,NBA012
117,30,SCHOOL,4,18,0.227,1.699,0,NBA002
118,33,SCHOOL,16,46,2.400,1.326,$null$,NBA012
119,32,UNDER GRADUATE,12,63,5.550,5.916,0,NBA003
120,33,SCHOOL,7,26,0.543,1.017,0,NBA006
121,29,UNDER GRADUATE,6,21,0.369,2.046,0,NBA004
122,28,UNDER GRADUATE,5,37,1.124,1.947,0,NBA002
123,33,DOCTRATE,9,32,0.496,1.264,0,NBA008
124,39,UNDER GRADUATE,16,53,0.694,1.267,0,NBA012
125,32,SCHOOL,10,42,1.540,2.282,0,NBA011
126,46,SCHOOL,9,72,0.828,2.772,$null$,NBA006
127,32,UNDER GRADUATE,3,47,0.429,0.464,0,NBA013
128,28,UNDER GRADUATE,5,25,0.339,0.386,0,NBA006
129,26,SCHOOL,2,21,1.023,3.135,0,NBA006
130,27,SCHOOL,0,16,0.183,0.089,0,NBA001
131,35,SCHOOL,16,36,0.179,1.045,0,NBA015
132,35,SCHOOL,16,57,1.143,4.842,0,NBA010
133,31,UNDER GRADUATE,6,25,2.332,0.543,0,NBA005
134,32,POST GRADUATE,5,23,0.326,0.709,0,NBA009
135,29,SCHOOL,9,25,1.070,2.405,0,NBA000
136,35,DOCTRATE,4,29,1.844,1.346,0,NBA016
137,48,UNDER GRADUATE,21,86,0.146,0.886,$null$,NBA014
138,24,SCHOOL,4,19,1.185,0.905,$null$,NBA000
139,44,SCHOOL,12,31,0.358,2.649,0,NBA003
140,40,UNDER GRADUATE,5,35,1.584,4.156,1,NBA012
141,36,UNDER GRADUATE,13,41,2.918,3.806,1,NBA006
142,23,UNDER GRADUATE,0,21,0.455,1.372,0,NBA004
143,26,UNDER GRADUATE,8,40,0.444,4.276,0,NBA001
144,30,SCHOOL,8,23,0.762,1.998,0,NBA006
145,34,SCHOOL,12,68,7.817,9.251,1,NBA005
146,28,POST GRADUATE,2,30,1.522,4.448,0,NBA005
147,37,SCHOOL,18,58,2.868,3.106,$null$,NBA009
148,46,POST GRADUATE,3,43,3.042,2.634,1,NBA013
149,24,UNDER GRADUATE,1,42,0.838,1.556,0,NBA002
150,25,UNDER GRADUATE,6,26,0.070,1.100,0,NBA002
151,33,SCHOOL,14,37,0.199,0.763,0,NBA002
152,46,SCHOOL,7,41,0.585,9.009,$null$,NBA006
153,38,POST GRADUATE,4,31,1.332,1.551,1,NBA006
154,47,SCHOOL,3,21,0.068,3.166,$null$,NBA001
155,34,UNDER GRADUATE,9,65,2.108,1.922,0,NBA009
156,35,SCHOOL,16,37,4.213,2.151,$null$,NBA000
157,39,SCHOOL,22,113,0.987,1.951,0,NBA009
158,44,SCHOOL,24,101,2.992,2.664,0,NBA010
159,28,UNDER GRADUATE,1,24,1.338,2.766,1,NBA008
160,31,POST GRADUATE,9,59,3.110,5.504,1,NBA007
161,24,SCHOOL,1,20,0.325,0.495,$null$,NBA000
162,36,POST GRADUATE,13,39,2.801,4.687,0,NBA003
163,35,UNDER GRADUATE,14,82,0.468,0.188,0,NBA003
164,31,SCHOOL,11,47,2.864,2.259,0,NBA012
165,28,UNDER GRADUATE,6,22,0.650,1.880,0,NBA009
166,36,DOCTRATE,8,32,0.025,0.487,0,NBA000
167,31,POST GRADUATE,6,54,0.402,1.110,0,NBA008
168,30,SCHOOL,11,27,0.074,0.169,0,NBA009
169,26,SCHOOL,10,24,0.311,0.337,0,NBA006
170,48,DOCTRATE,3,45,0.975,3.435,0,NBA023
171,39,UNDER GRADUATE,16,89,5.002,7.725,0,NBA009
172,31,SCHOOL,7,20,0.111,2.349,0,NBA002
173,31,POST GRADUATE,9,28,0.122,0.606,0,NBA002
174,27,POST GRADUATE,3,45,0.292,4.658,1,NBA004
175,31,SCHOOL,13,27,0.238,1.112,0,NBA012
176,53,SCHOOL,0,27,2.754,5.049,1,NBA026
177,40,SCHOOL,15,55,0.856,2.169,0,NBA014
178,26,SCHOOL,7,22,0.209,0.913,0,NBA003
179,29,UNDER GRADUATE,5,36,3.491,0.973,1,NBA004
180,52,SCHOOL,19,89,0.397,3.786,0,NBA025
181,39,UNDER GRADUATE,2,46,4.004,3.356,1,NBA012
182,33,UNDER GRADUATE,13,40,0.181,2.699,0,NBA002
183,24,SCHOOL,7,21,0.520,0.803,0,NBA002
184,47,SCHOOL,29,129,20.561,12.076,1,NBA018
185,41,POST GRADUATE,2,15,1.961,1.984,1,NBA000
186,26,UNDER GRADUATE,6,45,6.049,5.651,0,NBA007
187,48,SCHOOL,3,24,0.764,0.916,0,NBA007
188,37,SCHOOL,13,24,0.602,1.534,0,NBA005
189,37,SCHOOL,20,41,0.899,4.390,$null$,NBA013
190,46,DOCTRATE,7,73,0.556,0.247,$null$,NBA016
191,30,SCHOOL,8,27,3.744,1.737,$null$,NBA011
192,47,SCHOOL,15,30,2.212,5.138,0,NBA001
193,37,POST GRADUATE,16,75,0.022,0.053,$null$,NBA008
194,37,UNDER GRADUATE,0,31,0.118,0.161,1,NBA013
195,40,UNDER GRADUATE,15,73,1.033,1.449,0,NBA016
196,35,POST GRADUATE,5,30,1.526,1.654,$null$,NBA013
197,21,UNDER GRADUATE,0,16,0.150,0.938,0,NBA001
198,52,SCHOOL,24,64,3.930,2.470,0,NBA014
199,47,POST GRADUATE,16,221,15.792,23.104,1,NBA026
200,41,POST GRADUATE,0,26,0.099,0.343,0,NBA021
201,47,SCHOOL,27,113,2.381,8.015,0,NBA008
202,38,UNDER GRADUATE,0,21,0.612,0.354,$null$,NBA018
203,22,POST GRADUATE,1,25,1.977,1.473,1,NBA003
204,39,SCHOOL,8,21,0.276,0.564,0,NBA000
205,45,SCHOOL,8,27,0.416,0.286,$null$,NBA025
206,51,SCHOOL,10,44,4.960,0.848,1,NBA001
207,33,UNDER GRADUATE,10,26,0.031,0.775,0,NBA004
208,43,SCHOOL,25,242,1.636,4.656,0,NBA016
209,40,SCHOOL,22,95,0.633,2.787,0,NBA004
210,27,DOCTRATE,2,23,0.320,0.991,1,NBA008
211,31,SCHOOL,11,25,0.141,2.134,0,NBA008
212,34,SCHOOL,10,48,0.264,2.184,$null$,NBA012
213,37,SCHOOL,9,57,1.357,1.778,0,NBA008
214,44,DOCTRATE,18,78,0.565,0.215,$null$,NBA023
215,42,SCHOOL,3,24,0.667,1.877,0,NBA010
216,25,SCHOOL,3,16,1.011,1.837,1,NBA002
217,39,UNDER GRADUATE,7,68,1.017,7.823,1,NBA002
218,26,DOCTRATE,1,64,7.754,7.158,$null$,NBA006
219,36,SCHOOL,19,45,0.920,4.525,$null$,NBA008
220,48,SCHOOL,15,60,0.321,0.939,0,NBA005
221,21,UNDER GRADUATE,0,21,0.488,2.137,1,NBA002
222,40,POST GRADUATE,17,116,2.561,4.399,0,NBA011
223,31,UNDER GRADUATE,9,30,0.602,1.138,0,NBA001
224,23,DOCTRATE,0,23,0.468,1.073,0,NBA002
225,31,SCHOOL,6,21,0.729,1.014,0,NBA009
226,31,SCHOOL,7,23,0.225,0.902,0,NBA010
227,50,POST GRADUATE,18,102,5.782,8.600,0,NBA027
228,29,SCHOOL,1,31,0.156,2.324,0,NBA008
229,37,POST GRADUATE,5,29,1.405,5.729,0,NBA017
230,46,SCHOOL,16,52,3.032,3.676,1,NBA018
231,39,SCHOOL,9,35,0.233,1.517,0,NBA006
232,34,SCHOOL,14,28,1.138,3.622,0,NBA008
233,27,SCHOOL,11,56,4.637,4.827,0,NBA008
234,23,SCHOOL,6,15,1.375,0.530,$null$,NBA002
235,41,SCHOOL,24,83,6.589,5.031,0,NBA012
236,29,SCHOOL,1,18,0.030,0.168,0,NBA001
237,44,SCHOOL,19,40,0.344,4.016,$null$,NBA009
238,24,UNDER GRADUATE,0,15,0.321,2.094,1,NBA002
239,32,POST GRADUATE,9,51,2.686,9.044,0,NBA010
240,23,UNDER GRADUATE,3,34,0.262,1.234,0,NBA004
241,31,SCHOOL,4,28,0.291,2.873,0,NBA010
242,36,SCHOOL,15,39,0.686,0.562,0,NBA010
243,25,SCHOOL,3,31,0.881,1.630,$null$,NBA005
244,26,SCHOOL,10,32,0.126,1.378,0,NBA002
245,43,SCHOOL,4,26,0.751,1.095,$null$,NBA011
246,47,SCHOOL,29,169,0.349,3.369,$null$,NBA020
247,43,SCHOOL,10,69,0.411,4.005,0,NBA009
248,37,SCHOOL,18,54,4.593,1.941,0,NBA008
249,35,DOCTRATE,10,45,1.040,2.785,$null$,NBA012
250,28,DOCTRATE,1,26,0.377,2.847,0,NBA003
251,28,SCHOOL,8,30,0.613,1.547,0,NBA006
252,26,POST GRADUATE,2,37,0.205,5.049,0,NBA001
253,39,SCHOOL,10,31,0.185,1.303,0,NBA004
254,34,UNDER GRADUATE,3,21,1.402,3.449,0,NBA008
255,51,POST GRADUATE,16,82,2.605,1.003,0,NBA025
256,28,UNDER GRADUATE,3,41,5.897,4.394,1,NBA004
257,39,SCHOOL,20,39,0.774,2.424,0,NBA012
258,23,SCHOOL,3,19,0.279,1.317,1,NBA000
259,23,SCHOOL,3,13,0.046,0.357,$null$,NBA004
260,21,SCHOOL,4,26,1.421,0.893,0,NBA000
261,40,SCHOOL,3,23,0.409,1.178,0,NBA013
262,26,DOCTRATE,1,92,6.506,5.454,$null$,NBA005
263,32,UNDER GRADUATE,12,54,3.196,4.580,0,NBA001
264,29,POST GRADUATE,3,50,0.259,0.941,1,NBA003
265,43,SCHOOL,25,64,0.951,9.737,0,NBA021
266,55,SCHOOL,3,40,0.563,2.637,1,NBA011
267,30,SCHOOL,12,40,1.249,1.551,$null$,NBA004
268,38,POST GRADUATE,15,63,5.091,3.351,0,NBA018
269,40,SCHOOL,2,28,0.185,1.803,0,NBA003
270,43,SCHOOL,12,38,0.129,1.239,0,NBA011
271,35,UNDER GRADUATE,1,24,0.591,2.409,1,NBA008
272,24,SCHOOL,8,24,0.382,0.818,0,NBA004
273,35,SCHOOL,11,40,0.572,0.588,$null$,NBA009
274,39,UNDER GRADUATE,18,47,1.565,2.007,$null$,NBA018
275,41,UNDER GRADUATE,5,25,0.393,2.157,0,NBA005
276,28,SCHOOL,2,17,0.199,0.226,1,NBA002
277,24,UNDER GRADUATE,2,28,1.787,3.057,1,NBA000
278,40,POST GRADUATE,3,55,1.751,7.324,1,NBA015
279,29,SCHOOL,8,27,0.402,2.244,0,NBA006
280,26,UNDER GRADUATE,4,28,0.226,2.434,0,NBA003
281,27,SCHOOL,5,26,0.130,0.182,$null$,NBA005
282,50,SCHOOL,30,150,13.552,35.198,$null$,NBA008
283,41,SCHOOL,15,120,2.659,0.821,0,NBA014
284,26,SCHOOL,0,14,0.256,1.214,0,NBA000
285,48,SCHOOL,22,100,3.704,5.396,0,NBA015
286,35,UNDER GRADUATE,1,24,0.417,1.455,$null$,NBA011
287,35,SCHOOL,15,77,5.501,2.661,0,NBA001
288,23,SCHOOL,7,31,0.338,1.708,0,NBA002
289,39,UNDER GRADUATE,20,101,0.341,1.073,0,NBA017
290,38,SCHOOL,21,58,4.584,4.986,0,NBA016
291,30,SCHOOL,4,33,0.500,0.886,0,NBA000
292,44,UNDER GRADUATE,8,43,0.555,1.595,$null$,NBA018
293,33,SCHOOL,0,23,0.077,0.130,0,NBA012
294,34,SCHOOL,15,39,4.373,5.260,1,NBA002
295,27,UNDER GRADUATE,6,34,0.238,1.258,0,NBA001
296,30,SCHOOL,1,22,1.139,1.171,0,NBA010
297,27,UNDER GRADUATE,1,20,0.377,1.683,1,NBA000
298,29,SCHOOL,9,30,0.155,2.305,0,NBA008
299,25,DOCTRATE,1,34,0.133,2.757,1,NBA001
300,41,SCHOOL,23,91,0.573,11.894,0,NBA002
301,42,UNDER GRADUATE,11,73,2.869,2.095,0,NBA005
302,38,POST GRADUATE,12,64,0.895,2.817,0,NBA018
303,23,SCHOOL,5,17,0.302,1.041,0,NBA002
304,33,SCHOOL,2,24,1.041,1.263,0,NBA010
305,31,SCHOOL,2,22,1.739,1.869,1,NBA002
306,37,UNDER GRADUATE,6,62,1.186,4.084,0,NBA013
307,40,SCHOOL,10,45,2.013,6.447,0,NBA015
308,31,SCHOOL,3,16,3.065,2.103,$null$,NBA005
309,35,UNDER GRADUATE,3,40,1.803,5.077,1,NBA011
310,38,SCHOOL,6,41,0.266,3.383,0,NBA000
311,30,UNDER GRADUATE,8,56,0.333,3.251,0,NBA004
312,30,SCHOOL,1,17,0.746,1.124,0,NBA008
313,44,SCHOOL,2,22,1.092,1.020,$null$,NBA015
314,29,UNDER GRADUATE,3,15,0.147,0.243,0,NBA008
315,39,SCHOOL,19,45,0.916,0.749,0,NBA016
316,26,SCHOOL,0,17,0.142,0.708,$null$,NBA005
317,36,SCHOOL,5,27,0.724,1.166,$null$,NBA002
318,31,UNDER GRADUATE,0,27,1.089,2.367,1,NBA004
319,38,UNDER GRADUATE,12,40,0.898,1.142,$null$,NBA014
320,38,SCHOOL,0,23,0.898,0.965,1,NBA008
321,41,POST GRADUATE,13,91,2.316,20.616,1,NBA013
322,41,UNDER GRADUATE,2,30,0.113,1.897,0,NBA022
323,45,POST GRADUATE,5,94,3.612,6.258,1,NBA017
324,24,SCHOOL,4,23,0.242,0.885,$null$,NBA001
325,22,SCHOOL,4,16,0.084,0.108,0,NBA001
326,34,SCHOOL,13,56,0.864,2.552,0,NBA008
327,25,SCHOOL,0,18,0.514,2.888,1,NBA002
328,29,UNDER GRADUATE,6,18,0.450,0.468,1,NBA007
329,35,UNDER GRADUATE,13,105,1.418,0.577,0,NBA003
330,39,SCHOOL,19,48,1.930,4.358,0,NBA005
331,34,SCHOOL,17,59,1.808,2.912,0,NBA003
332,44,UNDER GRADUATE,21,113,3.192,11.724,0,NBA014
333,23,UNDER GRADUATE,0,21,0.776,1.618,1,NBA002
334,46,SCHOOL,6,31,1.986,1.796,0,NBA019
335,41,DOCTRATE,9,47,0.437,1.913,0,NBA013
336,52,SCHOOL,9,24,0.802,3.806,1,NBA011
337,23,SCHOOL,1,17,0.012,0.260,0,NBA000
338,48,SCHOOL,28,70,4.334,4.066,0,NBA025
339,35,SCHOOL,10,24,1.084,4.028,$null$,NBA003
340,53,UNDER GRADUATE,16,44,1.333,1.131,0,NBA031
341,39,POST GRADUATE,11,39,2.561,2.470,0,NBA017
342,37,SCHOOL,20,56,0.543,0.521,0,NBA002
343,34,SCHOOL,12,32,0.239,0.625,$null$,NBA015
344,49,UNDER GRADUATE,2,20,0.379,3.001,1,NBA013
345,39,SCHOOL,23,75,3.133,11.042,0,NBA001
346,42,UNDER GRADUATE,7,41,0.941,0.945,0,NBA023
347,28,UNDER GRADUATE,1,16,0.574,1.778,0,NBA004
348,27,POST GRADUATE,5,75,2.207,2.518,0,NBA001
349,24,SCHOOL,2,21,0.025,0.101,0,NBA001
350,34,SCHOOL,5,33,0.778,1.631,0,NBA003
351,47,SCHOOL,31,136,14.231,17.185,1,NBA009
352,26,DOCTRATE,1,27,0.312,0.471,0,NBA007
353,35,SCHOOL,17,42,0.093,1.167,0,NBA004
354,31,SCHOOL,6,33,0.146,1.240,0,NBA012
355,29,SCHOOL,13,27,0.069,0.552,0,NBA007
356,44,SCHOOL,9,33,0.546,1.170,0,NBA020
357,40,UNDER GRADUATE,13,102,6.227,13.051,1,NBA011
358,36,DOCTRATE,1,30,0.324,3.126,0,NBA017
359,32,POST GRADUATE,6,22,0.385,1.089,$null$,NBA012
360,21,SCHOOL,1,18,0.159,2.955,0,NBA001
361,42,DOCTRATE,15,186,2.404,4.292,0,NBA008
362,37,UNDER GRADUATE,4,20,0.174,4.166,1,NBA011
363,24,SCHOOL,6,21,0.108,0.984,0,NBA002
364,24,DOCTRATE,0,29,0.590,1.324,1,NBA003
365,46,POST GRADUATE,4,73,2.223,1.719,0,NBA017
366,28,SCHOOL,2,16,0.871,1.561,0,NBA009
367,41,SCHOOL,16,68,0.448,3.224,0,NBA017
368,46,POST DOCTORAL RESEARCH,15,126,0.477,3.429,0,NBA000
369,51,UNDER GRADUATE,22,120,4.140,4.980,0,NBA023
370,36,SCHOOL,17,54,0.727,1.649,0,NBA006
371,25,SCHOOL,1,20,0.472,0.868,1,NBA000
372,27,UNDER GRADUATE,3,33,1.634,2.722,0,NBA005
373,43,SCHOOL,23,72,1.182,4.290,0,NBA019
374,53,SCHOOL,6,27,0.594,1.134,1,NBA007
375,32,SCHOOL,4,16,0.894,3.666,1,NBA003
376,36,SCHOOL,0,25,2.778,2.147,0,NBA013
377,29,UNDER GRADUATE,9,30,3.646,2.864,$null$,NBA008
378,35,SCHOOL,18,42,0.205,2.903,0,NBA002
379,32,UNDER GRADUATE,0,18,0.296,0.748,1,NBA006
380,25,UNDER GRADUATE,1,14,0.233,1.153,$null$,NBA003
381,42,SCHOOL,2,30,1.472,1.438,0,NBA016
382,25,SCHOOL,9,20,0.105,0.595,0,NBA002
383,20,POST GRADUATE,0,17,0.044,0.347,0,NBA001
384,50,SCHOOL,4,23,0.141,2.734,0,NBA004
385,46,UNDER GRADUATE,22,144,3.325,12.659,0,NBA017
386,33,SCHOOL,15,32,0.491,1.941,0,NBA003
387,43,SCHOOL,19,79,0.782,5.143,0,NBA011
388,30,UNDER GRADUATE,4,21,0.492,3.351,0,NBA004
389,34,SCHOOL,3,36,0.624,1.068,0,NBA014
390,37,SCHOOL,3,25,0.276,0.649,0,NBA003
391,38,SCHOOL,4,19,1.245,1.339,0,NBA009
392,32,UNDER GRADUATE,11,57,5.440,8.126,1,NBA004
393,39,SCHOOL,15,39,0.140,0.562,0,NBA016
394,31,SCHOOL,7,41,2.996,9.591,1,NBA011
395,25,SCHOOL,5,22,0.403,1.995,0,NBA005
396,31,UNDER GRADUATE,12,44,1.867,2.357,$null$,NBA008
397,29,UNDER GRADUATE,0,23,1.242,0.598,$null$,NBA007
398,45,UNDER GRADUATE,21,132,2.558,1.402,0,NBA026
399,39,SCHOOL,4,38,1.178,1.292,0,NBA009
400,34,SCHOOL,4,23,0.617,0.671,$null$,NBA006
401,24,UNDER GRADUATE,3,24,2.173,2.411,0,NBA001
402,30,SCHOOL,10,19,0.336,0.500,0,NBA002
403,30,SCHOOL,0,19,0.624,2.530,1,NBA008
404,27,SCHOOL,0,18,0.583,1.721,0,NBA007
405,31,SCHOOL,5,25,1.177,2.348,0,NBA003
406,47,POST GRADUATE,9,52,2.540,7.912,1,NBA001
407,47,UNDER GRADUATE,4,33,1.195,1.148,1,NBA009
408,45,UNDER GRADUATE,15,51,1.551,7.680,0,NBA014
409,31,DOCTRATE,7,97,1.827,3.993,$null$,NBA012
410,45,SCHOOL,7,29,0.739,1.030,$null$,NBA017
411,29,SCHOOL,12,40,1.632,1.048,0,NBA002
412,36,UNDER GRADUATE,12,60,1.721,3.019,0,NBA013
413,29,UNDER GRADUATE,10,44,3.703,4.261,0,NBA008
414,39,SCHOOL,2,22,1.916,3.166,1,NBA015
415,22,UNDER GRADUATE,0,35,0.781,2.369,1,NBA001
416,46,SCHOOL,14,35,1.349,2.221,0,NBA025
417,38,SCHOOL,21,65,2.533,8.387,$null$,NBA017
418,37,SCHOOL,1,24,1.801,1.823,1,NBA003
419,42,SCHOOL,12,51,2.412,8.502,0,NBA011
420,36,SCHOOL,4,25,0.144,0.856,$null$,NBA017
421,34,SCHOOL,18,53,0.840,4.725,0,NBA010
422,38,POST GRADUATE,12,63,5.715,4.365,1,NBA014
423,27,SCHOOL,11,21,0.915,1.479,$null$,NBA001
424,35,UNDER GRADUATE,9,30,0.650,1.630,0,NBA016
425,48,SCHOOL,10,70,10.679,9.061,$null$,NBA000
426,45,UNDER GRADUATE,18,35,0.548,5.542,0,NBA019
427,43,SCHOOL,4,29,0.053,1.281,0,NBA002
428,54,SCHOOL,9,28,1.558,2.586,1,NBA002
429,35,POST GRADUATE,7,38,1.383,4.355,0,NBA005
430,28,SCHOOL,4,19,0.287,0.492,0,NBA007
431,39,SCHOOL,16,52,4.160,6.240,0,NBA004
432,43,SCHOOL,8,32,1.234,4.846,$null$,NBA000
433,32,UNDER GRADUATE,2,15,0.119,1.246,1,NBA011
434,22,POST GRADUATE,0,18,0.478,0.908,0,NBA001
435,41,POST GRADUATE,18,71,6.566,4.581,1,NBA006
